feature,timing
total_strikes_landed_vs_peak,precomp
total_strikes_landed_vs_valley,precomp
total_strikes_attempts_peak,precomp
total_strikes_attempts_valley,precomp
total_strikes_attempts_vs_peak,precomp
total_strikes_attempts_vs_valley,precomp
head_strikes_landed_peak,precomp
head_strikes_landed_valley,precomp
head_strikes_landed_vs_peak,precomp
head_strikes_landed_vs_valley,precomp
head_strikes_attempts_peak,precomp
head_strikes_attempts_valley,precomp
head_strikes_attempts_vs_peak,precomp
head_strikes_attempts_vs_valley,precomp
body_strikes_landed_peak,precomp
body_strikes_landed_valley,precomp
body_strikes_landed_vs_peak,precomp
body_strikes_landed_vs_valley,precomp
body_strikes_attempts_peak,precomp
body_strikes_attempts_valley,precomp
body_strikes_attempts_vs_peak,precomp
body_strikes_attempts_vs_valley,precomp
leg_strikes_landed_peak,precomp
leg_strikes_landed_valley,precomp
leg_strikes_landed_vs_peak,precomp
leg_strikes_landed_vs_valley,precomp
leg_strikes_attempts_peak,precomp
leg_strikes_attempts_valley,precomp
leg_strikes_attempts_vs_peak,precomp
leg_strikes_attempts_vs_valley,precomp
distance_strikes_landed_peak,precomp
distance_strikes_landed_valley,precomp
distance_strikes_landed_vs_peak,precomp
distance_strikes_landed_vs_valley,precomp
distance_strikes_attempts_peak,precomp
distance_strikes_attempts_valley,precomp
distance_strikes_attempts_vs_peak,precomp
distance_strikes_attempts_vs_valley,precomp
clinch_strikes_landed_peak,precomp
clinch_strikes_landed_valley,precomp
clinch_strikes_landed_vs_peak,precomp
clinch_strikes_landed_vs_valley,precomp
clinch_strikes_attempts_peak,precomp
clinch_strikes_attempts_valley,precomp
clinch_strikes_attempts_vs_peak,precomp
clinch_strikes_attempts_vs_valley,precomp
ground_strikes_landed_peak,precomp
ground_strikes_landed_valley,precomp
ground_strikes_landed_vs_peak,precomp
ground_strikes_landed_vs_valley,precomp
ground_strikes_attempts_peak,precomp
ground_strikes_attempts_valley,precomp
ground_strikes_attempts_vs_peak,precomp
ground_strikes_attempts_vs_valley,precomp
comp_time_peak,postcomp
comp_time_valley,postcomp
comp_time_vs_peak,postcomp
comp_time_vs_valley,postcomp
title_fight_loss_peak,postcomp
title_fight_loss_valley,postcomp
title_fight_loss_vs_peak,postcomp
title_fight_loss_vs_valley,postcomp
title_fight_losses_peak,postcomp
title_fight_losses_valley,postcomp
title_fight_losses_vs_peak,postcomp
title_fight_losses_vs_valley,postcomp
win_streak_peak,postcomp
win_streak_valley,postcomp
win_streak_vs_peak,postcomp
win_streak_vs_valley,postcomp
lose_streak_peak,postcomp
lose_streak_valley,postcomp
lose_streak_vs_peak,postcomp
lose_streak_vs_valley,postcomp
win_loss_ratio_peak,postcomp
win_loss_ratio_valley,postcomp
win_loss_ratio_vs_peak,postcomp
win_loss_ratio_vs_valley,postcomp
KO_losses_peak,postcomp
KO_losses_valley,postcomp
KO_losses_vs_peak,postcomp
KO_losses_vs_valley,postcomp
sub_absorbed_peak,precomp
sub_absorbed_valley,precomp
sub_absorbed_vs_peak,precomp
sub_absorbed_vs_valley,precomp
takedowns_absorbed_peak,precomp
takedowns_absorbed_valley,precomp
takedowns_absorbed_vs_peak,precomp
takedowns_absorbed_vs_valley,precomp
sig_strikes_absorbed_peak,precomp
sig_strikes_absorbed_valley,precomp
sig_strikes_absorbed_vs_peak,precomp
sig_strikes_absorbed_vs_valley,precomp
total_strikes_absorbed_peak,precomp
total_strikes_absorbed_valley,precomp
total_strikes_absorbed_vs_peak,precomp
total_strikes_absorbed_vs_valley,precomp
head_strikes_absorbed_peak,precomp
head_strikes_absorbed_valley,precomp
head_strikes_absorbed_vs_peak,precomp
head_strikes_absorbed_vs_valley,precomp
body_strikes_absorbed_peak,precomp
body_strikes_absorbed_valley,precomp
body_strikes_absorbed_vs_peak,precomp
body_strikes_absorbed_vs_valley,precomp
leg_strikes_absorbed_peak,precomp
leg_strikes_absorbed_valley,precomp
leg_strikes_absorbed_vs_peak,precomp
leg_strikes_absorbed_vs_valley,precomp
distance_strikes_absorbed_peak,precomp
distance_strikes_absorbed_valley,precomp
distance_strikes_absorbed_vs_peak,precomp
distance_strikes_absorbed_vs_valley,precomp
clinch_strikes_absorbed_peak,precomp
clinch_strikes_absorbed_valley,precomp
clinch_strikes_absorbed_vs_peak,precomp
clinch_strikes_absorbed_vs_valley,precomp
ground_strikes_absorbed_peak,precomp
ground_strikes_absorbed_valley,precomp
